id,category_id,property_id,item_name,description,quantity_on_hand,unit,reorder_level,unit_cost,notes,created_at,updated_at
1,1,1,Cooking Pot (Large),"Heavy-duty aluminium, 20L",4,piece,2,3500,,2024-01-25T09:00:00,2024-01-25T09:00:00
2,1,1,Cooking Pot (Medium),"Aluminium, 10L",3,piece,2,2000,,2024-01-25T09:00:00,2024-01-25T09:00:00
3,1,1,Frying Pan (Large),"Non-stick, 30cm",3,piece,2,1500,,2024-01-25T09:00:00,2024-01-25T09:00:00
4,1,1,Frying Pan (Small),"Non-stick, 20cm",2,piece,1,800,,2024-01-25T09:00:00,2024-01-25T09:00:00
5,1,1,Serving Spoons (Large),Stainless steel,10,piece,6,200,,2024-01-25T09:00:00,2024-01-25T09:00:00
6,1,1,Kitchen Knives Set,"Chef, bread, paring, utility",2,set,1,2500,,2024-01-25T09:00:00,2024-01-25T09:00:00
7,1,1,Chopping Boards,"Wooden, large",4,piece,2,600,,2024-01-25T09:00:00,2024-01-25T09:00:00
8,1,1,Blender,"Kenwood, 1.5L",1,piece,1,5500,,2024-01-25T09:00:00,2024-01-25T09:00:00
9,1,1,Microwave,Samsung 20L,1,piece,1,12000,,2024-01-25T09:00:00,2024-01-25T09:00:00
10,1,1,Electric Kettle,2L stainless steel,2,piece,1,2500,,2024-01-25T09:00:00,2024-01-25T09:00:00
11,1,1,Thermos Flask (Large),5L pump thermos,3,piece,2,3000,Used for events — tea/coffee service,2024-01-25T09:00:00,2024-01-25T09:00:00
12,1,1,Water Dispenser,"Hot & cold, floor-standing",1,piece,1,8000,,2024-01-25T09:00:00,2024-01-25T09:00:00
13,2,1,Dinner Plates,"White ceramic, 10 inch",120,piece,80,250,Sized for 100 guests + buffer,2024-01-25T09:00:00,2024-01-25T09:00:00
14,2,1,Side Plates,"White ceramic, 7 inch",120,piece,80,180,,2024-01-25T09:00:00,2024-01-25T09:00:00
15,2,1,Soup Bowls,"White ceramic, deep",80,piece,50,200,,2024-01-25T09:00:00,2024-01-25T09:00:00
16,2,1,Stainless Steel Forks,Standard dinner forks,120,piece,80,80,,2024-01-25T09:00:00,2024-01-25T09:00:00
17,2,1,Stainless Steel Knives,Standard dinner knives,120,piece,80,80,,2024-01-25T09:00:00,2024-01-25T09:00:00
18,2,1,Stainless Steel Spoons,Dessert/soup spoons,120,piece,80,60,,2024-01-25T09:00:00,2024-01-25T09:00:00
19,2,1,Teaspoons,Stainless steel,120,piece,80,40,,2024-01-25T09:00:00,2024-01-25T09:00:00
20,2,1,Drinking Glasses,"Clear tumbler, 300ml",120,piece,80,120,,2024-01-25T09:00:00,2024-01-25T09:00:00
21,2,1,Wine Glasses,"Stemmed, 250ml",60,piece,30,250,Used for weddings and upscale events,2024-01-25T09:00:00,2024-01-25T09:00:00
